Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Salesman ID Salesman ID""))",Chrome 117.0.0.0,,,2023-09-29 07:30:34,2023-09-29 07:30:35,0.370s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_REYNER""))",Chrome 117.0.0.0,,,2023-09-29 07:30:35,2023-09-29 07:30:35,0.483s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Name_createcustomer-customer_9f598b""), ""PIC"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:35,2023-09-29 07:30:37,1.355s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_PIC_createcustomer-customerregister-c_7d29d8""), ""email"" + randomText + ""@mailinator.com"")",Chrome 117.0.0.0,,,2023-09-29 07:30:37,2023-09-29 07:30:37,0.747s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Email_createcustomer-customerregister_6409b8""), ""city"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:37,2023-09-29 07:30:38,0.716s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_City_createcustomer-customerregister-_1096a9""), ""reMark"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:38,2023-09-29 07:30:39,0.703s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Remark_createcustomer-customerregiste_e3ba5d""), ""08.178.554.2-123.321"" + randomNum)",Chrome 117.0.0.0,,,2023-09-29 07:30:39,2023-09-29 07:30:40,0.759s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_NPWP_createcustomer-customerregister-_b2e4d8""), ""tier"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:40,2023-09-29 07:30:40,0.764s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Tier_createcustomer-customerregist_831bae""), ""address1"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:40,2023-09-29 07:30:41,0.755s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Address_createcustomer-customerreg_2c8b43""), ""address2"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:41,2023-09-29 07:30:43,1.586s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Address 2_createcustomer-customerregi_b33ca3""), ""0801"" + randomNum)",Chrome 117.0.0.0,,,2023-09-29 07:30:43,2023-09-29 07:30:43,0.717s,PASSED
